O1,O2,O3,O4,O5,O6,O7,H_exact,G_exact,K_exact,H_L_exact,H_R_exact,H_ctrap,G_ctrap,K_ctrap,H_mid,G_mid,K_mid,model,param,layer,type,n
-0.16522394120693207,-0.09267575107514858,-0.04287596605718136,-6.109727110015228e-05,0.04285042453557253,0.09281076863408089,0.1650375183671713,0.12025644577106481,6.0862857688604e-05,0.6342024142499396,0.07633570165074754,0.07619815482350495,0.1096238138852641,-0.0004756608285960829,0.5929952532162381,0.09274325985461473,0.0013866889169941688,0.6591720772072415,GPT2-Small,transformer.h.11.attn.c_proj.weight,11,attn_output,589824
-0.1486751139163971,-0.08756875805556774,-0.04232989810407162,-0.002110819914378226,0.03833936573937535,0.08373203128576279,0.1453044805675745,0.10253529006505147,0.0025786593432045317,0.598756746418562,0.061234088270351116,0.06155330507451633,0.09766812453744933,0.0031695547111810773,0.5742734405370415,0.08565039467066526,0.0022470010817318945,0.6226192286116287,GPT2-Small,transformer.h.11.mlp.c_fc.weight,11,ffn_input,2359296
-0.21365012042224407,-0.1226789653301239,-0.05732940137386322,-0.00015248911222442985,0.0569016276858747,0.12228192575275898,0.2131967544555664,0.15085568533390611,-0.0018748477665424127,0.6124720651110368,0.09262668465723728,0.09216310160315914,0.14166399120585993,-0.0005553871754172682,0.5822659791908578,0.12248044554144144,-0.0003758206157280542,0.6380933797964886,GPT2-Small,transformer.h.11.mlp.c_proj.weight,11,ffn_output,2359296
-0.1444776300340891,-0.06337574124336243,-0.026278053177520633,-4.80638427688973e-05,0.02622284833341837,0.06352008692920208,0.1446236427873373,0.10905122662815318,0.000738009859765243,0.7434677753596478,0.08103952986945859,0.08111261585348907,0.0963768583314959,0.00047760829763085434,0.6992306617881078,0.06344791408628225,0.001895045525455967,0.9322622134934833,GPT2-Medium,transformer.h.0.attn.c_attn.weight,0,attn_input,3145728
-0.04304448654875159,-0.0240895445458591,-0.0111407256918028,6.635557292611338e-05,0.01121834188234061,0.02413792349398136,0.04302192619070411,0.03116790823471034,-0.001744157735680704,0.632266139134097,0.01973822844137525,0.01967459756751702,0.02860268810763955,-0.0020209419672470633,0.5938073947877375,0.02411373401992023,-0.001748634153057702,0.6604881798136695,GPT2-Medium,transformer.h.0.attn.c_proj.weight,0,attn_output,1048576
-0.11592503264546394,-0.06693370267748833,-0.03141975589096546,-0.00028937918250449,0.03082030499354005,0.0664652157574892,0.11526256240904331,0.0803897239795881,1.2337237515966026e-05,0.6038396401941126,0.04854943626147973,0.04853556774479728,0.0766856413683854,-0.0008700391820091365,0.579649078363348,0.06669945921748877,0.0008266292283592006,0.6332417689441449,GPT2-Medium,transformer.h.0.mlp.c_fc.weight,0,ffn_input,4194304
-0.09184877201914787,-0.05320695787668228,-0.024903157958760858,3.797508543357253e-05,0.025055947015061975,0.053315989673137665,0.0918606435880065,0.06423024325463852,0.0001863230596912231,0.6026013090990876,0.038720217315661346,0.03869024002233469,0.060994958330411464,-5.714079012294288e-05,0.5769298743119721,0.05326147377490997,0.0003105586763149435,0.6278004585386523,GPT2-Medium,transformer.h.0.mlp.c_proj.weight,0,ffn_output,4194304
-0.104279275983572,-0.05693751014769077,-0.0260451918002218,-0.00018461402942193672,0.025649082381278276,0.05659173522144556,0.10398538503795862,0.07513065967703203,0.0004649917951994375,0.6450511437318436,0.04842514090924929,0.04850109499874552,0.06910228935885243,0.000178107330286626,0.6076146757496176,0.05676462268456817,0.00020658229976253125,0.6895597091786678,GPT2-Medium,transformer.h.1.attn.c_attn.weight,1,attn_input,3145728
-0.07209878414869308,-0.03919152915477753,-0.017735734349116683,5.7543127695680596e-05,0.0177844671998173,0.03930322453379631,0.07225884776562452,0.053356390849111236,-0.0015823673274753631,0.655770086329635,0.035056286001801794,0.034922764064917046,0.04783049912657589,-0.0001498687494225387,0.6092055291156366,0.03924737684428692,-4.319876441718447e-05,0.6932783737190492,GPT2-Medium,transformer.h.1.attn.c_proj.weight,1,attn_output,1048576
-0.11283670552074909,-0.06289462931454182,-0.027499593794345856,0.003091953112743795,0.03341179434210062,0.06881397031247616,0.1190511416643858,0.08170921532112742,0.0005316939804831473,0.6174393312894266,0.050301695527912,0.05059927100820938,0.07687256333883852,-0.0003161024154804372,0.5877407931904187,0.06585429981350899,-0.0020087164262809227,0.6490709776463801,GPT2-Medium,transformer.h.1.mlp.c_fc.weight,1,ffn_input,4194304
-0.08084431011229753,-0.04603862762451172,-0.02140383655205369,-2.992765985254664e-05,0.021362313767895103,0.0460022846236825,0.08072900213301182,0.05782758343578754,0.00040457263705526007,0.6210845557177093,0.0359056259146187,0.03592601201827104,0.05361707039992325,-0.0003692504287177712,0.5860152103527975,0.04602045612409711,0.00025545508297952313,0.6454040872877783,GPT2-Medium,transformer.h.1.mlp.c_proj.weight,1,ffn_output,4194304
